Date,Open,High,Low,Close,Volume
10/11/2010,538.48,544.6,537.17,538.84,5247300
10/08/2010,532.77,537.6,527.62,536.35,5712600
10/07/2010,536.21,537.2,529.14,530.01,4786800
10/06/2010,539.26,539.95,529.94,534.35,5519000
10/05/2010,528.38,540,526.55,538.23,7007100
10/04/2010,524.95,528.25,518.85,522.35,3877100
10/01/2010,530,530.62,523,525.62,4445500
09/30/2010,529.16,531.87,518.92,525.79,6481700
09/29/2010,527.85,532.94,524.71,527.69,4340000
09/28/2010,533.48,533.59,518.45,527.17,7302000
09/27/2010,528.85,536.85,528.85,530.41,6208500
09/24/2010,521.74,527.83,518.26,527.29,6707000
09/23/2010,514.61,519.69,511.3,513.48,4630100
09/22/2010,512.86,517.78,511.68,516,5069100
09/21/2010,509.68,519.98,508.91,513.46,8923600
09/20/2010,492.5,510.41,492.06,508.28,8798100
09/17/2010,483.75,491.2,481.18,490.15,11271900
09/16/2010,479.95,482.45,479.41,481.06,3935000
09/15/2010,479.95,481.89,478.5,480.64,4800700
09/14/2010,482.01,484.75,480.08,480.43,4428500
09/13/2010,480.9,484.35,479.53,482.27,4478500
09/10/2010,479.02,479.79,475.08,476.14,3944600
09/09/2010,477.83,480.4,470.58,476.18,4856300
09/08/2010,465.19,472.5,464.51,470.58,4798700
09/07/2010,464.5,467.59,463.02,464.4,3416300
09/03/2010,470.52,471.88,467.44,470.3,5075700
09/02/2010,462.84,464.43,460.31,463.18,3365000
09/01/2010,454.98,464.94,452.5,460.33,6450100
08/31/2010,450.11,454.87,448,450.02,3889700
08/30/2010,459.15,459.76,452.42,452.69,2460300
08/27/2010,452.56,459.99,447.65,458.83,4620100
08/26/2010,456.06,457.26,450.44,450.98,3550400
08/25/2010,450,457.81,450,454.62,5179000
08/24/2010,457.7,458.37,450.92,451.39,5519800
08/23/2010,461.5,468.25,457.73,464.07,5966400
08/20/2010,467.97,471.59,461.02,462.02,7827300
08/19/2010,481.01,482.51,467.25,467.97,7842100
08/18/2010,490.44,490.87,481.55,482.15,5367400
08/17/2010,488.53,494.7,486.03,490.52,3777600
08/16/2010,483.68,489.87,480.5,485.59,2607300
08/13/2010,489,491.19,486.01,486.35,3865500
08/12/2010,483.94,494.75,482.51,492.01,4404700
08/11/2010,497.73,498,491.5,491.74,4441500
08/10/2010,502.35,506,498.57,503.71,4143800
08/09/2010,502.25,505.5,501.36,505.35,3740600
08/06/2010,505.4,505.74,496.05,500.22,6632300
08/05/2010,505.89,508.6,503.56,508.1,4835900
08/04/2010,492.18,507,491.05,506.32,7617300
08/03/2010,490.5,492.46,486.76,489.83,3600900
08/02/2010,488.99,493.28,486.94,490.41,3713600
07/30/2010,479.65,487.36,479.14,484.85,4283900
07/29/2010,485.95,488.88,479.33,484.99,5345600
07/28/2010,494.94,495.25,482.67,484.35,4987000
07/27/2010,490.58,497.5,490.17,492.63,4897400
07/26/2010,489.09,490.75,484.88,488.97,3986400
07/23/2010,480.77,490.59,480.01,490.06,4524200
07/22/2010,483.23,488.98,482.48,484.81,4291100
07/21/2010,484,485.7,475.43,477.5,6552600
07/20/2010,461.03,482.99,460.6,481.59,8100800
07/19/2010,461.01,469.65,457.52,466.18,9091400
07/16/2010,469.12,470.56,459.52,459.61,15633900
07/15/2010,491.73,494.7,482.68,494.02,9706600
07/14/2010,489.88,493.83,486.46,491.34,6229700
07/13/2010,482.25,492.99,480.28,489.2,7944600
07/12/2010,472.37,479.44,471.08,475.83,6662100
07/09/2010,471.96,473.26,462.78,467.49,8654300
07/08/2010,453.55,457.33,449.66,456.56,5332400
07/07/2010,438.31,451.29,435.38,450.2,6253100
07/06/2010,444,447.67,433.63,436.07,5115000
07/02/2010,441.62,442.28,436,436.55,3868100
07/01/2010,445.29,448.4,433.63,439.49,7020100
06/30/2010,454.96,457.83,444.72,444.95,7199100
06/29/2010,463.44,464.55,451.12,454.26,6997100
06/28/2010,472.59,477.55,469.01,472.08,3521000
06/25/2010,477.06,477.65,470.56,472.68,4485900
06/24/2010,479.66,482.75,473.26,475.1,3783400
06/23/2010,486.89,486.89,478.16,482.05,4054100
06/22/2010,489.9,496.6,485.73,486.25,4434900
06/21/2010,499.9,500.97,484.89,488.56,5961000
06/18/2010,502.51,503.47,498.13,500.03,5740000
06/17/2010,503.45,505.87,496.69,500.08,3950600
06/16/2010,496.17,504,496.11,501.27,4574000
06/15/2010,483.08,500.4,482.18,497.99,8510600
06/14/2010,494.48,494.5,483.19,483.19,4076700
06/11/2010,482.5,488.71,481.62,488.5,3559800
06/10/2010,480.37,488.5,475.84,487.01,5150600
06/09/2010,487.22,488.88,472,474.02,5452500
06/08/2010,487.85,488.84,477.54,484.78,5364800
06/07/2010,499.06,500.91,483.15,485.52,7258100
06/04/2010,499.72,509.25,496.7,498.72,7832700
06/03/2010,495.11,508,494.7,505.6,7294000
06/02/2010,486.68,493.87,481.46,493.37,5076500
06/01/2010,480.43,491.06,480.12,482.37,5328200
05/28/2010,492.74,493.45,483,485.63,5783800
